ts,x,y,z
2025-09-28T04:52:27.700000Z,-0.793,1.099,-0.366
2025-09-28T04:52:28.108000Z,0.0,0.793,-0.366
2025-09-28T04:52:29.142000Z,-0.488,0.732,-0.427
2025-09-28T04:52:29.489000Z,1.099,1.465,-0.305
2025-09-28T04:52:30.161000Z,-0.427,0.854,-0.427
2025-09-28T04:52:30.478000Z,0.366,1.709,-0.244
2025-09-28T04:52:31.212000Z,0.977,0.977,-0.305
2025-09-28T04:52:31.708000Z,-0.488,0.732,-0.427
2025-09-28T04:52:32.205000Z,0.061,1.099,-0.305
2025-09-28T04:52:32.626000Z,-0.183,0.427,-0.488
2025-09-28T04:52:33.021000Z,-0.122,0.916,-0.366
2025-09-28T04:52:33.430000Z,-0.916,0.732,-0.488
2025-09-28T04:52:33.872000Z,0.549,1.16,-0.366
2025-09-28T04:52:34.304000Z,-1.16,0.854,-0.366
2025-09-28T04:52:34.873000Z,1.038,1.465,-0.549
2025-09-28T04:52:35.292000Z,-1.099,0.305,-0.427
2025-09-28T04:52:35.732000Z,0.0,1.831,-0.183
2025-09-28T04:52:36.719000Z,-0.122,1.465,-0.305
2025-09-28T04:52:37.038000Z,-0.427,0.793,-0.427
2025-09-28T04:52:37.752000Z,-0.061,1.343,-0.305
2025-09-28T04:52:38.094000Z,-0.305,0.854,-0.427
2025-09-28T04:52:38.586000Z,0.122,0.916,-0.427
2025-09-28T04:52:38.973000Z,-0.549,0.793,-0.427
2025-09-28T04:52:39.369000Z,0.122,1.038,-0.366
2025-09-28T04:52:39.781000Z,-0.61,0.916,-0.427
2025-09-28T04:52:40.201000Z,-0.488,-0.183,-0.427
2025-09-28T04:52:41.220000Z,-0.183,0.244,-0.366
2025-09-28T04:52:41.594000Z,-0.671,1.16,-0.427
2025-09-28T04:52:42.248000Z,0.793,1.221,-0.305
2025-09-28T04:52:42.599000Z,-0.244,1.831,-0.244
2025-09-28T04:52:43.268000Z,-0.488,1.099,-0.366
2025-09-28T04:52:43.592000Z,-1.282,0.732,-0.427
2025-09-28T04:52:44.084000Z,-0.305,0.793,-0.366
2025-09-28T04:52:44.506000Z,0.122,0.854,-0.427
2025-09-28T04:52:44.906000Z,-0.122,1.038,-0.366
2025-09-28T04:52:45.316000Z,-0.122,1.038,-0.366
2025-09-28T04:52:46.129000Z,-0.244,0.793,-0.488
2025-09-28T04:52:46.547000Z,-0.061,0.671,-0.488
2025-09-28T04:52:46.968000Z,0.183,1.16,-0.305
2025-09-28T04:52:47.365000Z,-0.488,0.793,-0.427
2025-09-28T04:52:47.769000Z,-0.122,0.854,-0.427
2025-09-28T04:52:48.808000Z,-0.854,0.916,-0.305
2025-09-28T04:52:49.158000Z,-1.16,0.549,-0.366
2025-09-28T04:52:49.816000Z,-0.183,1.282,-0.244
2025-09-28T04:52:50.187000Z,-0.244,0.732,-0.366
2025-09-28T04:52:50.857000Z,0.488,0.977,-0.366
2025-09-28T04:52:51.180000Z,0.366,1.16,-0.244
2025-09-28T04:52:51.869000Z,-0.916,-0.305,-0.366
2025-09-28T04:52:52.188000Z,-0.488,-0.183,-0.427
2025-09-28T04:52:52.920000Z,0.305,0.732,-0.61
2025-09-28T04:52:53.278000Z,-0.732,0.977,-0.305
2025-09-28T04:52:55.579000Z,-1.038,0.366,-0.427
2025-09-28T04:52:55.909000Z,-0.488,1.526,-0.183
2025-09-28T04:52:56.226000Z,-0.183,1.343,-0.366
