ts_iso,x,y,z
2025-09-26T09:33:18.516836,-0.244,-2.808,0.427
2025-09-26T09:33:18.552534,-0.61,-7.324,1.77
2025-09-26T09:33:19.960743,-2.991,-8.118,19.165
2025-09-26T09:33:20.022256,-3.662,-3.296,9.949
2025-09-26T09:33:20.111011,-0.305,-0.977,0.61
2025-09-26T09:33:20.624432,-0.122,-0.732,0.0
2025-09-26T09:33:20.737939,-0.305,-1.709,0.61
2025-09-26T09:33:21.300092,0.0,-1.648,-0.061
2025-09-26T09:33:21.379772,-0.061,-1.282,0.183
2025-09-26T09:33:21.461528,0.0,-1.831,-0.183
2025-09-26T09:33:21.570409,-0.183,-2.014,0.427
2025-09-26T09:33:21.697195,-0.183,-1.343,0.244
2025-09-26T09:33:21.808144,0.061,1.038,-0.366
2025-09-26T09:33:21.926987,-0.122,-0.732,0.122
2025-09-26T09:33:22.083642,-34.241,-17.578,-16.418
2025-09-26T09:33:22.161619,-0.183,-0.305,0.977
2025-09-26T09:33:22.288862,-0.671,-0.793,2.014
2025-09-26T09:33:22.370441,-0.488,-0.488,1.282
2025-09-26T09:33:22.498488,0.0,0.366,-0.122
2025-09-26T09:33:22.582561,0.0,-0.793,-0.122
2025-09-26T09:33:22.719229,0.244,-1.221,-0.977
2025-09-26T09:33:22.982526,-0.061,-0.61,0.0
2025-09-26T09:33:23.132374,-0.061,-0.854,-0.061
2025-09-26T09:33:23.502522,-0.244,-0.244,0.488
2025-09-26T09:33:23.708070,-0.244,-0.305,0.671
2025-09-26T09:33:23.806901,-0.305,-0.183,0.916
2025-09-26T09:33:23.892760,0.061,0.0,-0.427
2025-09-26T09:33:23.973628,0.0,-0.427,-0.366
2025-09-26T09:33:24.029174,0.061,-0.671,-0.488
2025-09-26T09:33:24.095352,-0.122,-0.366,0.183
2025-09-26T09:33:24.182912,0.183,-0.61,-0.793
2025-09-26T09:33:24.585726,0.0,-0.305,-0.122
2025-09-26T09:33:24.709984,-0.061,-0.244,-0.061
2025-09-26T09:33:24.848942,-0.061,-0.244,0.061
2025-09-26T09:33:25.498654,-0.122,-0.061,0.061
2025-09-26T09:33:26.130432,-0.061,-0.671,0.061
2025-09-26T09:33:26.692956,-0.061,-0.61,0.0
2025-09-26T09:33:27.645197,-0.122,-0.854,0.122
2025-09-26T09:33:28.682392,-0.061,-0.549,-0.122
2025-09-26T09:33:29.801627,-0.061,-0.244,-0.183
2025-09-26T09:33:30.730980,-0.061,-0.549,0.0
2025-09-26T09:33:31.593321,0.0,-0.122,-0.305
2025-09-26T09:33:32.128606,-0.061,-0.244,-0.061
2025-09-26T09:33:32.253499,-0.061,-0.427,-0.061
2025-09-26T09:33:32.298401,-0.061,-0.549,-0.122
2025-09-26T09:33:32.410338,-0.122,-0.61,0.0
2025-09-26T09:33:32.467104,0.0,-0.183,-0.183
2025-09-26T09:33:32.576358,-0.061,-0.793,-0.061
2025-09-26T09:33:32.665350,-0.183,0.0,0.366
2025-09-26T09:33:32.707860,-0.244,-0.488,0.427
2025-09-26T09:33:32.813819,0.0,-0.244,-0.244
2025-09-26T09:33:32.866932,0.0,-0.366,-0.366
